productId,productName,rating,price,discount,positiveReviews,negativeReviews,totalReviews,releaseDate,category,sales,seller
1,Echo Dot (4th generation) amz,2,26,29,12,19,31,2023-06-24T05:33:09.613Z,Electronic,"{'month1': 53, 'month2': 94, 'month3': 36, 'totalSales': 183}",Amazon
2,Kindle Paperwhite amz,2,44,42,42,69,111,2023-06-24T05:33:09.613Z,Electronic,"{'month1': 95, 'month2': 67, 'month3': 48, 'totalSales': 210}",Amazon
3,Apple AirPods Pro amz,0,66,29,44,7,51,2023-06-24T05:33:09.613Z,Home Decor,"{'month1': 64, 'month2': 60, 'month3': 15, 'totalSales': 139}",Amazon
4,Instant Pot Duo amz,1,63,24,88,27,115,2023-06-24T05:33:09.613Z,Books,"{'month1': 8, 'month2': 59, 'month3': 17, 'totalSales': 84}",Amazon
5,Fitbit Charge 4 amz,5,21,38,91,49,140,2023-06-24T05:33:09.613Z,Sports,"{'month1': 20, 'month2': 86, 'month3': 16, 'totalSales': 122}",Amazon
6,Sony WH-1000XM4 Wireless Headphones amz,5,5,44,74,69,143,2023-06-24T05:33:09.613Z,Electronic,"{'month1': 40, 'month2': 2, 'month3': 42, 'totalSales': 84}",Amazon
7,Samsung Galaxy Watch 4 amz,3,53,14,83,59,142,2023-06-24T05:33:09.613Z,Gaming,"{'month1': 55, 'month2': 46, 'month3': 72, 'totalSales': 173}",Amazon
8,Nintendo Switch amz,4,60,36,27,14,41,2023-06-24T05:33:09.613Z,Books,"{'month1': 78, 'month2': 11, 'month3': 74, 'totalSales': 163}",Amazon
9,Philips Sonicare DiamondClean Toothbrush amz,3,26,27,78,52,130,2023-06-24T05:33:09.613Z,Gaming,"{'month1': 100, 'month2': 28, 'month3': 41, 'totalSales': 169}",Amazon
10,Bose QuietComfort 35 II Wireless Headphones amz,3,97,35,18,30,48,2023-06-24T05:33:09.613Z,Daily life,"{'month1': 64, 'month2': 48, 'month3': 73, 'totalSales': 185}",Amazon
11,Roomba Robot Vacuum amz,1,31,14,23,41,64,2023-06-24T05:33:09.613Z,Home Decor,"{'month1': 29, 'month2': 30, 'month3': 30, 'totalSales': 89}",Amazon
12,Anker PowerCore Portable Charger amz,5,24,44,73,79,152,2023-06-24T05:33:09.613Z,Sports,"{'month1': 90, 'month2': 87, 'month3': 83, 'totalSales': 260}",Amazon
13,GoPro Hero9 Black amz,0,82,37,77,88,165,2023-06-24T05:33:09.613Z,Mobiles,"{'month1': 8, 'month2': 98, 'month3': 36, 'totalSales': 142}",Amazon
14,JBL Flip 5 Portable Speaker amz,1,50,50,31,70,101,2023-06-24T05:33:09.613Z,Sports,"{'month1': 3, 'month2': 40, 'month3': 84, 'totalSales': 127}",Amazon
15,Apple Watch Series 6 amz,4,71,29,63,3,66,2023-06-24T05:33:09.613Z,Electronic,"{'month1': 49, 'month2': 50, 'month3': 4, 'totalSales': 103}",Amazon
16,Dyson Supersonic Hair Dryer amz,2,91,22,76,81,157,2023-06-24T05:33:09.614Z,Sports,"{'month1': 26, 'month2': 31, 'month3': 23, 'totalSales': 80}",Amazon
17,Ring Video Doorbell Pro amz,1,94,38,91,67,158,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 54, 'month2': 61, 'month3': 8, 'totalSales': 123}",Amazon
18,Sony PlayStation 5 amz,3,52,19,21,67,88,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 82, 'month2': 8, 'month3': 8, 'totalSales': 98}",Amazon
19,Nikon D3500 DSLR Camera amz,1,26,41,51,27,78,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 82, 'month2': 14, 'month3': 75, 'totalSales': 171}",Amazon
20,Garmin Forerunner 245 GPS Running Watch amz,0,52,22,100,1,101,2023-06-24T05:33:09.614Z,Sports,"{'month1': 16, 'month2': 5, 'month3': 11, 'totalSales': 32}",Amazon
21,NutriBullet Pro Blender amz,1,93,10,67,66,133,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 92, 'month2': 85, 'month3': 99, 'totalSales': 276}",Amazon
22,Microsoft Surface Pro 7 amz,5,84,12,2,30,32,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 45, 'month2': 80, 'month3': 50, 'totalSales': 175}",Amazon
23,Weber Spirit II E-310 Gas Grill amz,0,50,25,45,59,104,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 73, 'month2': 44, 'month3': 36, 'totalSales': 153}",Amazon
24,Vitamix 5200 Blender amz,3,4,19,55,93,148,2023-06-24T05:33:09.614Z,Books,"{'month1': 89, 'month2': 42, 'month3': 14, 'totalSales': 145}",Amazon
25,TCL 55-Inch 4K Smart TV amz,2,47,16,56,13,69,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 4, 'month2': 55, 'month3': 65, 'totalSales': 124}",Amazon
26,AncestryDNA Genetic Testing Kit amz,4,73,21,99,29,128,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 6, 'month2': 34, 'month3': 80, 'totalSales': 120}",Amazon
27,Cuisinart 14-Cup Food Processor amz,0,45,38,25,23,48,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 50, 'month2': 67, 'month3': 94, 'totalSales': 211}",Amazon
28,Instant Pot Duo Crisp + Air Fryer amz,0,97,46,12,64,76,2023-06-24T05:33:09.614Z,Books,"{'month1': 16, 'month2': 63, 'month3': 13, 'totalSales': 92}",Amazon
29,KitchenAid Stand Mixer amz,0,9,11,80,27,107,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 75, 'month2': 86, 'month3': 75, 'totalSales': 236}",Amazon
30,Fitbit Versa 3 amz,5,23,26,75,82,157,2023-06-24T05:33:09.614Z,Toys,"{'month1': 16, 'month2': 51, 'month3': 90, 'totalSales': 157}",Amazon
