productId,productName,rating,price,discount,positiveReviews,negativeReviews,totalReviews,releaseDate,category,seller,sales_month1,sales_month2,sales_month3,sales_totalsales
1,Echo Dot (4th generation) amz,2,26,29,12,19,31,2023-06-24T05:33:09.613Z,Electronic,Amazon,53,94,36,183
2,Kindle Paperwhite amz,2,44,42,42,69,111,2023-06-24T05:33:09.613Z,Electronic,Amazon,95,67,48,210
3,Apple AirPods Pro amz,0,66,29,44,7,51,2023-06-24T05:33:09.613Z,Home Decor,Amazon,64,60,15,139
4,Instant Pot Duo amz,1,63,24,88,27,115,2023-06-24T05:33:09.613Z,Books,Amazon,8,59,17,84
5,Fitbit Charge 4 amz,5,21,38,91,49,140,2023-06-24T05:33:09.613Z,Sports,Amazon,20,86,16,122
6,Sony WH-1000XM4 Wireless Headphones amz,5,5,44,74,69,143,2023-06-24T05:33:09.613Z,Electronic,Amazon,40,2,42,84
7,Samsung Galaxy Watch 4 amz,3,53,14,83,59,142,2023-06-24T05:33:09.613Z,Gaming,Amazon,55,46,72,173
8,Nintendo Switch amz,4,60,36,27,14,41,2023-06-24T05:33:09.613Z,Books,Amazon,78,11,74,163
9,Philips Sonicare DiamondClean Toothbrush amz,3,26,27,78,52,130,2023-06-24T05:33:09.613Z,Gaming,Amazon,100,28,41,169
10,Bose QuietComfort 35 II Wireless Headphones amz,3,97,35,18,30,48,2023-06-24T05:33:09.613Z,Daily life,Amazon,64,48,73,185
11,Roomba Robot Vacuum amz,1,31,14,23,41,64,2023-06-24T05:33:09.613Z,Home Decor,Amazon,29,30,30,89
12,Anker PowerCore Portable Charger amz,5,24,44,73,79,152,2023-06-24T05:33:09.613Z,Sports,Amazon,90,87,83,260
13,GoPro Hero9 Black amz,0,82,37,77,88,165,2023-06-24T05:33:09.613Z,Mobiles,Amazon,8,98,36,142
14,JBL Flip 5 Portable Speaker amz,1,50,50,31,70,101,2023-06-24T05:33:09.613Z,Sports,Amazon,3,40,84,127
15,Apple Watch Series 6 amz,4,71,29,63,3,66,2023-06-24T05:33:09.613Z,Electronic,Amazon,49,50,4,103
16,Dyson Supersonic Hair Dryer amz,2,91,22,76,81,157,2023-06-24T05:33:09.614Z,Sports,Amazon,26,31,23,80
17,Ring Video Doorbell Pro amz,1,94,38,91,67,158,2023-06-24T05:33:09.614Z,Traveling,Amazon,54,61,8,123
18,Sony PlayStation 5 amz,3,52,19,21,67,88,2023-06-24T05:33:09.614Z,Gaming,Amazon,82,8,8,98
19,Nikon D3500 DSLR Camera amz,1,26,41,51,27,78,2023-06-24T05:33:09.614Z,Electronic,Amazon,82,14,75,171
20,Garmin Forerunner 245 GPS Running Watch amz,0,52,22,100,1,101,2023-06-24T05:33:09.614Z,Sports,Amazon,16,5,11,32
21,NutriBullet Pro Blender amz,1,93,10,67,66,133,2023-06-24T05:33:09.614Z,Traveling,Amazon,92,85,99,276
22,Microsoft Surface Pro 7 amz,5,84,12,2,30,32,2023-06-24T05:33:09.614Z,Gaming,Amazon,45,80,50,175
23,Weber Spirit II E-310 Gas Grill amz,0,50,25,45,59,104,2023-06-24T05:33:09.614Z,Electronic,Amazon,73,44,36,153
24,Vitamix 5200 Blender amz,3,4,19,55,93,148,2023-06-24T05:33:09.614Z,Books,Amazon,89,42,14,145
25,TCL 55-Inch 4K Smart TV amz,2,47,16,56,13,69,2023-06-24T05:33:09.614Z,Traveling,Amazon,4,55,65,124
26,AncestryDNA Genetic Testing Kit amz,4,73,21,99,29,128,2023-06-24T05:33:09.614Z,Mobiles,Amazon,6,34,80,120
27,Cuisinart 14-Cup Food Processor amz,0,45,38,25,23,48,2023-06-24T05:33:09.614Z,Daily life,Amazon,50,67,94,211
28,Instant Pot Duo Crisp + Air Fryer amz,0,97,46,12,64,76,2023-06-24T05:33:09.614Z,Books,Amazon,16,63,13,92
29,KitchenAid Stand Mixer amz,0,9,11,80,27,107,2023-06-24T05:33:09.614Z,Gaming,Amazon,75,86,75,236
30,Fitbit Versa 3 amz,5,23,26,75,82,157,2023-06-24T05:33:09.614Z,Toys,Amazon,16,51,90,157
31,Apple iPad Air amz,0,48,43,91,68,159,2023-06-24T05:33:09.614Z,Beauty,Amazon,15,15,34,64
32,Sony X900H 65-Inch TV amz,3,58,17,10,83,93,2023-06-24T05:33:09.614Z,Daily life,Amazon,90,45,78,213
33,Garmin Venu 2S Fitness Smartwatch amz,4,46,46,6,27,33,2023-06-24T05:33:09.614Z,Toys,Amazon,79,46,41,166
34,Oculus Quest 2 VR Headset amz,0,72,50,32,22,54,2023-06-24T05:33:09.614Z,Daily life,Amazon,78,100,83,261
35,iRobot Braava Jet M6 Robot Mop amz,4,46,10,34,55,89,2023-06-24T05:33:09.614Z,Gaming,Amazon,46,12,26,84
36,Samsung Galaxy Buds Pro amz,0,23,46,63,66,129,2023-06-24T05:33:09.614Z,Traveling,Amazon,28,75,77,180
37,All-New Fire HD 10 Tablet amz,5,29,26,55,72,127,2023-06-24T05:33:09.614Z,Toys,Amazon,39,54,62,155
38,Beats Solo Pro Wireless Headphones amz,4,22,25,19,39,58,2023-06-24T05:33:09.614Z,Sports,Amazon,10,88,44,142
39,Canon EOS M50 Mark II Mirrorless Camera amz,5,16,35,51,46,97,2023-06-24T05:33:09.614Z,Beauty,Amazon,78,11,47,136
40,Breville Barista Express Espresso Machine amz,3,98,33,63,81,144,2023-06-24T05:33:09.614Z,Beauty,Amazon,14,36,29,79
41,LG OLED65CXPUA 65-Inch 4K Smart OLED TV amz,3,81,17,19,30,49,2023-06-24T05:33:09.614Z,Traveling,Amazon,97,74,92,263
42,Fitbit Inspire 2 amz,2,93,11,22,45,67,2023-06-24T05:33:09.614Z,Mobiles,Amazon,68,13,49,130
43,Apple MacBook Pro amz,5,6,34,39,85,124,2023-06-24T05:33:09.614Z,Traveling,Amazon,59,91,26,176
44,Microsoft Xbox Series X amz,5,71,43,11,33,44,2023-06-24T05:33:09.614Z,Traveling,Amazon,99,19,75,193
45,Bose SoundLink Revolve Portable Bluetooth Speaker amz,4,20,32,57,67,124,2023-06-24T05:33:09.614Z,Gaming,Amazon,46,81,35,162
46,Samsung Galaxy Tab S7 amz,2,78,12,81,44,125,2023-06-24T05:33:09.614Z,Beauty,Amazon,63,85,11,159
47,Ninja Foodi Deluxe Pressure Cooker amz,0,6,36,29,61,90,2023-06-24T05:33:09.614Z,Books,Amazon,50,1,92,143
48,DJI Mavic Air 2 Drone amz,4,52,25,70,17,87,2023-06-24T05:33:09.614Z,Home Decor,Amazon,87,20,82,189
49,Fitbit Aria Air Smart Scale amz,5,63,16,84,82,166,2023-06-24T05:33:09.614Z,Electronic,Amazon,67,81,37,185
50,Sony A7 III Full-Frame Mirrorless Camera amz,4,63,18,62,25,87,2023-06-24T05:33:09.614Z,Beauty,Amazon,92,32,30,154
51,Samsung 970 EVO Plus SSD amz,5,61,35,15,83,98,2023-06-24T05:33:09.614Z,Gaming,Amazon,32,9,17,58
52,Logitech MX Master 3 Wireless Mouse amz,1,25,35,54,56,110,2023-06-24T05:33:09.614Z,Traveling,Amazon,17,96,51,164
53,Apple iPhone 12 Pro Max amz,1,35,39,51,97,148,2023-06-24T05:33:09.614Z,Books,Amazon,96,89,63,248
54,LG CX 55-Inch OLED 4K Smart TV amz,4,56,40,26,61,87,2023-06-24T05:33:09.614Z,Home Decor,Amazon,6,10,45,61
55,Bose SoundSport Wireless Earbuds amz,5,11,19,53,76,129,2023-06-24T05:33:09.614Z,Electronic,Amazon,89,64,85,238
56,Microsoft Surface Laptop 4 amz,1,70,40,55,26,81,2023-06-24T05:33:09.614Z,Traveling,Amazon,96,95,86,277
57,Roku Streaming Stick+ amz,1,2,38,51,44,95,2023-06-24T05:33:09.614Z,Beauty,Amazon,70,59,79,208
58,Anker Soundcore Liberty Air 2 Pro Earbuds amz,3,39,46,79,93,172,2023-06-24T05:33:09.614Z,Electronic,Amazon,98,86,88,272
59,Canon EOS R6 Mirrorless Camera amz,2,29,40,71,8,79,2023-06-24T05:33:09.614Z,Traveling,Amazon,83,80,95,258
60,Sony WF-1000XM4 True Wireless Earbuds amz,4,15,39,21,28,49,2023-06-24T05:33:09.614Z,Sports,Amazon,31,60,96,187
61,Garmin Fenix 6 Pro amz,0,78,44,96,100,196,2023-06-24T05:33:09.614Z,Mobiles,Amazon,48,42,49,139
62,LG 27UK850-W 27-Inch 4K Monitor amz,4,33,41,73,66,139,2023-06-24T05:33:09.614Z,Books,Amazon,45,97,19,161
63,Crock-Pot Express Multi-Cooker amz,2,81,15,25,80,105,2023-06-24T05:33:09.614Z,Traveling,Amazon,38,40,65,143
64,Samsung Galaxy S21 Ultra amz,5,54,19,46,47,93,2023-06-24T05:33:09.614Z,Traveling,Amazon,36,62,1,99
65,ASUS ROG Strix G15 Gaming Laptop amz,3,6,45,71,0,71,2023-06-24T05:33:09.614Z,Home Decor,Amazon,13,46,28,87
66,Fitbit Sense Advanced Smartwatch amz,1,14,15,42,25,67,2023-06-24T05:33:09.614Z,Sports,Amazon,56,9,64,129
67,Sony X800H 55-Inch 4K Smart TV amz,4,40,41,8,94,102,2023-06-24T05:33:09.614Z,Electronic,Amazon,88,38,93,219
68,Google Nest Cam Indoor Security Camera amz,0,13,30,5,59,64,2023-06-24T05:33:09.614Z,Sports,Amazon,55,49,5,109
69,Breville Smart Oven Air amz,5,33,25,13,53,66,2023-06-24T05:33:09.614Z,Traveling,Amazon,68,73,17,158
70,Beats Powerbeats Pro Wireless Earphones amz,3,13,18,25,42,67,2023-06-24T05:33:09.614Z,Toys,Amazon,69,20,3,92
71,Bose Solo 5 TV Soundbar amz,1,73,49,21,2,23,2023-06-24T05:33:09.614Z,Sports,Amazon,18,7,27,52
72,Apple iMac 27-Inch Retina 5K Display amz,2,81,32,17,87,104,2023-06-24T05:33:09.614Z,Electronic,Amazon,12,55,7,74
73,NVIDIA GeForce RTX 3080 Graphics Card amz,2,20,20,17,48,65,2023-06-24T05:33:09.614Z,Sports,Amazon,59,48,16,123
74,Nintendo Switch Lite amz,1,50,36,31,38,69,2023-06-24T05:33:09.614Z,Books,Amazon,51,98,28,177
75,Jabra Elite 85t True Wireless Earbuds amz,4,63,20,30,12,42,2023-06-24T05:33:09.614Z,Daily life,Amazon,3,88,70,161
76,Canon EOS 90D DSLR Camera amz,3,95,16,21,92,113,2023-06-24T05:33:09.614Z,Electronic,Amazon,1,15,25,41
77,Samsung Galaxy S20 FE amz,5,76,29,47,52,99,2023-06-24T05:33:09.614Z,Sports,Amazon,32,16,51,99
78,Logitech G502 HERO Gaming Mouse amz,1,21,28,16,29,45,2023-06-24T05:33:09.614Z,Electronic,Amazon,39,84,84,207
79,LG OLED48C1 48-Inch 4K Smart OLED TV amz,4,7,39,31,31,62,2023-06-24T05:33:09.614Z,Home Decor,Amazon,49,22,8,79
80,Dyson V11 Animal Cordless Vacuum Cleaner amz,5,68,12,61,24,85,2023-06-24T05:33:09.614Z,Electronic,Amazon,68,11,50,129
81,Philips Hue White and Color Ambiance Smart Bulb amz,1,50,38,72,31,103,2023-06-24T05:33:09.614Z,Toys,Amazon,27,91,11,129
82,Apple AirTag amz,3,93,22,97,14,111,2023-06-24T05:33:09.614Z,Sports,Amazon,37,76,80,193
83,Razer BlackWidow Elite Mechanical Gaming Keyboard amz,2,51,12,9,29,38,2023-06-24T05:33:09.614Z,Books,Amazon,93,31,4,128
84,Sony ZV-1 Compact Camera amz,4,1,26,54,34,88,2023-06-24T05:33:09.614Z,Traveling,Amazon,43,94,57,194
85,Amazon Echo Show 10 (3rd generation) amz,0,52,32,73,6,79,2023-06-24T05:33:09.614Z,Sports,Amazon,49,39,78,166
86,HP Pavilion 27-Inch FHD Monitor amz,4,91,38,53,37,90,2023-06-24T05:33:09.614Z,Home Decor,Amazon,4,86,36,126
87,Bose QuietComfort Earbuds amz,3,19,29,83,54,137,2023-06-24T05:33:09.614Z,Electronic,Amazon,59,4,94,157
88,Sony Alpha a6400 Mirrorless Camera amz,0,89,40,51,10,61,2023-06-24T05:33:09.614Z,Books,Amazon,63,56,30,149
